# age (yr),T_eff (K),L (L_sun)
1.76637e+03,4.08523e+03,5.59360e+01
1.86069e+03,4.08754e+03,5.54250e+01
1.96011e+03,4.08996e+03,5.49004e+01
2.06486e+03,4.09261e+03,5.43692e+01
2.17521e+03,4.09516e+03,5.38140e+01
2.29139e+03,4.09786e+03,5.32480e+01
2.41362e+03,4.10073e+03,5.26729e+01
2.54214e+03,4.10350e+03,5.20753e+01
2.67729e+03,4.10633e+03,5.14636e+01
2.82041e+03,4.10970e+03,5.08586e+01
2.97061e+03,4.11281e+03,5.02250e+01
3.12852e+03,4.11604e+03,4.95817e+01
3.29542e+03,4.11939e+03,4.89259e+01
3.47034e+03,4.12272e+03,4.82560e+01
3.65542e+03,4.12628e+03,4.75798e+01
3.84953e+03,4.12982e+03,4.68900e+01
4.05431e+03,4.13345e+03,4.61903e+01
4.26988e+03,4.13752e+03,4.54969e+01
4.49643e+03,4.14126e+03,4.47779e+01
4.73507e+03,4.14521e+03,4.40565e+01
4.98662e+03,4.14912e+03,4.33229e+01
5.25124e+03,4.15330e+03,4.25914e+01
5.52967e+03,4.15767e+03,4.18587e+01
5.82274e+03,4.16206e+03,4.11191e+01
6.13118e+03,4.16639e+03,4.03702e+01
6.45585e+03,4.17096e+03,3.96247e+01
6.79758e+03,4.17578e+03,3.88818e+01
7.15706e+03,4.18035e+03,3.81230e+01
7.53528e+03,4.18502e+03,3.73674e+01
7.93320e+03,4.18980e+03,3.66153e+01
8.35262e+03,4.19471e+03,3.58645e+01
8.79359e+03,4.19936e+03,3.51056e+01
9.25732e+03,4.20463e+03,3.43675e+01
9.74576e+03,4.20948e+03,3.36182e+01
1.02594e+04,4.21432e+03,3.28713e+01
1.07998e+04,4.21962e+03,3.21417e+01
1.13687e+04,4.22469e+03,3.14097e+01
1.19668e+04,4.22980e+03,3.06834e+01
1.25967e+04,4.23527e+03,2.99720e+01
1.32588e+04,4.24022e+03,2.92528e+01
1.39555e+04,4.24576e+03,2.85563e+01
1.46889e+04,4.25098e+03,2.78586e+01
1.54600e+04,4.25641e+03,2.71741e+01
