# age (yr),T_eff (K),L (L_sun)
2.74607e+02,4.08728e+03,2.96644e+03
2.86384e+02,4.08957e+03,2.94723e+03
2.98620e+02,4.09215e+03,2.92819e+03
3.11341e+02,4.09473e+03,2.90854e+03
3.24582e+02,4.09723e+03,2.88798e+03
3.38378e+02,4.09986e+03,2.86716e+03
3.52759e+02,4.10307e+03,2.84720e+03
3.67309e+02,4.13098e+03,2.89119e+03
3.82864e+02,4.13808e+03,2.87892e+03
3.99207e+02,4.14127e+03,2.85524e+03
4.16213e+02,4.14453e+03,2.83113e+03
4.33923e+02,4.14784e+03,2.80649e+03
4.52370e+02,4.15123e+03,2.78140e+03
4.71587e+02,4.15520e+03,2.75716e+03
4.91633e+02,4.15883e+03,2.73134e+03
5.12573e+02,4.16304e+03,2.70627e+03
5.34379e+02,4.16680e+03,2.67938e+03
5.57080e+02,4.17059e+03,2.65200e+03
5.80707e+02,4.17493e+03,2.62537e+03
6.05367e+02,4.17901e+03,2.59745e+03
6.31107e+02,4.18327e+03,2.56933e+03
6.57868e+02,4.18771e+03,2.54112e+03
6.85754e+02,4.19172e+03,2.51135e+03
7.14884e+02,4.19667e+03,2.48317e+03
7.45127e+02,4.20111e+03,2.45338e+03
7.76768e+02,4.20589e+03,2.42377e+03
8.09626e+02,4.21065e+03,2.39373e+03
8.43973e+02,4.21584e+03,2.36409e+03
8.79643e+02,4.22093e+03,2.33385e+03
9.16936e+02,4.22618e+03,2.30350e+03
9.55719e+02,4.23144e+03,2.27296e+03
9.96120e+02,4.23658e+03,2.24215e+03
1.03828e+03,4.24220e+03,2.21144e+03
1.08214e+03,4.24786e+03,2.18050e+03
1.12778e+03,4.25308e+03,2.14842e+03
1.17547e+03,4.25906e+03,2.11755e+03
1.22511e+03,4.26518e+03,2.08670e+03
1.27679e+03,4.27083e+03,2.05475e+03
1.33062e+03,4.27691e+03,2.02344e+03
1.38670e+03,4.28337e+03,1.99265e+03
1.44513e+03,4.28969e+03,1.96142e+03
1.50597e+03,4.29587e+03,1.92986e+03
1.56941e+03,4.30246e+03,1.89891e+03
1.63546e+03,4.30891e+03,1.86764e+03
1.70428e+03,4.31592e+03,1.83727e+03
1.77593e+03,4.32233e+03,1.80588e+03
1.85063e+03,4.32903e+03,1.77497e+03
1.92840e+03,4.33605e+03,1.74461e+03
2.00936e+03,4.34279e+03,1.71390e+03
2.09370e+03,4.35027e+03,1.68441e+03
2.18158e+03,4.35704e+03,1.65395e+03
2.27312e+03,4.36411e+03,1.62407e+03
2.36845e+03,4.37127e+03,1.59451e+03
2.46772e+03,4.37883e+03,1.56566e+03
2.57104e+03,4.38606e+03,1.53656e+03
2.67889e+03,4.39348e+03,1.50871e+03
2.79115e+03,4.40100e+03,1.48078e+03
2.90801e+03,4.40871e+03,1.45330e+03
3.02966e+03,4.41659e+03,1.42624e+03
3.15649e+03,4.42392e+03,1.39873e+03
3.28842e+03,4.43141e+03,1.37146e+03
3.42584e+03,4.43950e+03,1.34544e+03
3.56911e+03,4.44703e+03,1.31903e+03
3.71822e+03,4.45519e+03,1.29365e+03
3.87346e+03,4.46296e+03,1.26810e+03
4.03530e+03,4.47126e+03,1.24355e+03
4.20357e+03,4.47888e+03,1.21868e+03
4.37916e+03,4.48683e+03,1.19454e+03
4.56177e+03,4.49508e+03,1.17094e+03
4.75215e+03,4.50304e+03,1.14759e+03
4.95034e+03,4.51146e+03,1.12509e+03
5.15690e+03,4.51990e+03,1.10298e+03
5.37179e+03,4.52804e+03,1.08099e+03
5.59581e+03,4.53617e+03,1.05934e+03
5.82902e+03,4.54530e+03,1.03900e+03
6.07211e+03,4.55358e+03,1.01837e+03
6.32508e+03,4.56183e+03,9.98137e+02
6.58870e+03,4.57065e+03,9.78775e+02
6.86335e+03,4.57895e+03,9.59491e+02
7.14905e+03,4.58734e+03,9.40599e+02
7.44724e+03,4.59636e+03,9.22694e+02
7.75748e+03,4.60490e+03,9.04839e+02
8.08060e+03,4.61319e+03,8.87249e+02
8.41750e+03,4.62216e+03,8.70600e+02
8.76814e+03,4.63137e+03,8.54562e+02
9.13365e+03,4.63985e+03,8.38389e+02
9.51422e+03,4.64837e+03,8.22706e+02
9.91069e+03,4.65749e+03,8.07895e+02
1.03240e+04,4.66604e+03,7.93189e+02
1.07545e+04,4.67507e+03,7.79277e+02
1.12031e+04,4.68431e+03,7.65962e+02
1.16708e+04,4.69302e+03,7.52836e+02
1.21578e+04,4.70202e+03,7.40385e+02
1.26654e+04,4.71079e+03,7.28229e+02
1.31946e+04,4.72032e+03,7.17033e+02
1.37461e+04,4.72978e+03,7.06504e+02
1.43211e+04,4.73873e+03,6.96020e+02
1.49202e+04,4.74867e+03,6.86667e+02
1.55449e+04,4.75776e+03,6.77537e+02
1.61969e+04,4.76679e+03,6.69095e+02
1.68760e+04,4.77588e+03,6.61294e+02
1.75852e+04,4.78515e+03,6.54283e+02
1.83232e+04,4.79496e+03,6.48117e+02
1.90942e+04,4.80419e+03,6.42413e+02
1.98968e+04,4.81413e+03,6.37836e+02
2.07352e+04,4.82352e+03,6.33844e+02
2.16081e+04,4.83304e+03,6.30566e+02
2.25173e+04,4.84330e+03,6.28565e+02
2.34663e+04,4.85321e+03,6.27182e+02
2.44536e+04,4.86354e+03,6.26853e+02
2.54808e+04,4.87397e+03,6.27552e+02
2.65510e+04,4.88465e+03,6.29598e+02
2.76635e+04,4.89572e+03,6.33274e+02
2.88188e+04,4.90729e+03,6.38986e+02
3.00159e+04,4.92006e+03,6.47518e+02
3.12554e+04,4.93311e+03,6.59037e+02
3.25331e+04,4.94687e+03,6.74267e+02
3.38451e+04,4.96169e+03,6.93913e+02
3.51866e+04,4.97780e+03,7.18492e+02
3.65514e+04,4.99568e+03,7.48281e+02
3.79435e+04,5.01575e+03,7.82565e+02
3.93705e+04,5.03877e+03,8.19887e+02
4.08462e+04,5.06571e+03,8.58225e+02
4.23848e+04,5.09722e+03,8.95098e+02
4.39861e+04,5.13358e+03,9.29734e+02
4.56520e+04,5.17528e+03,9.61111e+02
4.73740e+04,5.22378e+03,9.88859e+02
4.91423e+04,5.28091e+03,1.01184e+03
5.08911e+04,5.35492e+03,1.02977e+03
5.26482e+04,5.43919e+03,1.04160e+03
5.44137e+04,5.53090e+03,1.05025e+03
5.61767e+04,5.63004e+03,1.05721e+03
5.79868e+04,5.73287e+03,1.05883e+03
5.98393e+04,5.83886e+03,1.05791e+03
6.17229e+04,5.94850e+03,1.05761e+03
6.36648e+04,6.06007e+03,1.05672e+03
6.56810e+04,6.17263e+03,1.05479e+03
6.77726e+04,6.28633e+03,1.05260e+03
6.99155e+04,6.40286e+03,1.05223e+03
7.21164e+04,6.52207e+03,1.05389e+03
7.43524e+04,6.64544e+03,1.05908e+03
7.66666e+04,6.77060e+03,1.06545e+03
7.90244e+04,6.89948e+03,1.07486e+03
8.14153e+04,7.03260e+03,1.08797e+03
8.37916e+04,7.17191e+03,1.10658e+03
8.62175e+04,7.31479e+03,1.12779e+03
8.86423e+04,7.46307e+03,1.15327e+03
9.10502e+04,7.61707e+03,1.18324e+03
9.34733e+04,7.77578e+03,1.21641e+03
9.58940e+04,7.93979e+03,1.25326e+03
9.83126e+04,8.10913e+03,1.29369e+03
1.00720e+05,8.28411e+03,1.33810e+03
1.03103e+05,8.46490e+03,1.38674e+03
1.05468e+05,8.65134e+03,1.43942e+03
1.07824e+05,8.84365e+03,1.49580e+03
1.10173e+05,9.04192e+03,1.55566e+03
1.12513e+05,9.24635e+03,1.61899e+03
1.14842e+05,9.45712e+03,1.68594e+03
1.17156e+05,9.67448e+03,1.75661e+03
1.19456e+05,9.89860e+03,1.83105e+03
1.21744e+05,1.01297e+04,1.90903e+03
1.24021e+05,1.03681e+04,1.99042e+03
1.26292e+05,1.06139e+04,2.07496e+03
1.28566e+05,1.08673e+04,2.16211e+03
1.30839e+05,1.11286e+04,2.25189e+03
1.33120e+05,1.13979e+04,2.34385e+03
1.35402e+05,1.16756e+04,2.43825e+03
1.37684e+05,1.19621e+04,2.53512e+03
1.39967e+05,1.22573e+04,2.63389e+03
1.42264e+05,1.25619e+04,2.73359e+03
1.44577e+05,1.28761e+04,2.83372e+03
1.46910e+05,1.31999e+04,2.93393e+03
1.49271e+05,1.35336e+04,3.03367e+03
1.51655e+05,1.38773e+04,3.13348e+03
1.54068e+05,1.42315e+04,3.23216e+03
1.56505e+05,1.45964e+04,3.33023e+03
1.58967e+05,1.49723e+04,3.42709e+03
1.61467e+05,1.53593e+04,3.52145e+03
1.64004e+05,1.57578e+04,3.61295e+03
1.66584e+05,1.61679e+04,3.70131e+03
1.69209e+05,1.65898e+04,3.78625e+03
1.71890e+05,1.70237e+04,3.86637e+03
1.74636e+05,1.74697e+04,3.94085e+03
1.77470e+05,1.79277e+04,4.00762e+03
1.80404e+05,1.83975e+04,4.06607e+03
1.83466e+05,1.88788e+04,4.11336e+03
1.86689e+05,1.93712e+04,4.14839e+03
1.90125e+05,1.98738e+04,4.16711e+03
1.93906e+05,2.03824e+04,4.15723e+03
1.98352e+05,2.08729e+04,4.08405e+03
2.03849e+05,2.12268e+04,3.86842e+03
2.09424e+05,2.12906e+04,3.54207e+03
2.14732e+05,2.11902e+04,3.22843e+03
2.20793e+05,2.10614e+04,2.96663e+03
2.29053e+05,2.10870e+04,2.82748e+03
2.37059e+05,2.13967e+04,2.87397e+03
2.43200e+05,2.18253e+04,2.99514e+03
2.48421e+05,2.22996e+04,3.13636e+03
2.53784e+05,2.27950e+04,3.26976e+03
2.60481e+05,2.32820e+04,3.35282e+03
2.69705e+05,2.36056e+04,3.28987e+03
2.79372e+05,2.35825e+04,3.09210e+03
2.80025e+05,2.31389e+04,2.96364e+03
2.80678e+05,2.27037e+04,2.84053e+03
2.84522e+05,2.27981e+04,2.87222e+03
2.92980e+05,2.27766e+04,2.79830e+03
3.01772e+05,2.27209e+04,2.73526e+03
3.11081e+05,2.26798e+04,2.69791e+03
3.20766e+05,2.26549e+04,2.67801e+03
3.30824e+05,2.26425e+04,2.66964e+03
3.41191e+05,2.26357e+04,2.66599e+03
3.51881e+05,2.26317e+04,2.66449e+03
3.62964e+05,2.26284e+04,2.66368e+03
3.74368e+05,2.26251e+04,2.66307e+03
3.85998e+05,2.26219e+04,2.66256e+03
3.98243e+05,2.26186e+04,2.66212e+03
4.10651e+05,2.26152e+04,2.66169e+03
4.23634e+05,2.26116e+04,2.66132e+03
4.36803e+05,2.26079e+04,2.66097e+03
4.50670e+05,2.26041e+04,2.66068e+03
4.64538e+05,2.26003e+04,2.66039e+03
4.79415e+05,2.25962e+04,2.66022e+03
4.94344e+05,2.25921e+04,2.66005e+03
5.09824e+05,2.25881e+04,2.65996e+03
5.26027e+05,2.25841e+04,2.65996e+03
5.42231e+05,2.25800e+04,2.65997e+03
5.59423e+05,2.25755e+04,2.66000e+03
5.77155e+05,2.25708e+04,2.66005e+03
5.94887e+05,2.25660e+04,2.66010e+03
6.13706e+05,2.25613e+04,2.66026e+03
6.33272e+05,2.25566e+04,2.66050e+03
6.52839e+05,2.25519e+04,2.66075e+03
6.73001e+05,2.25472e+04,2.66103e+03
