# age (yr),T_eff (K),L (L_sun)
8.50827e+02,4.14419e+03,2.30045e+02
8.95490e+02,4.14773e+03,2.28304e+02
9.42556e+02,4.15095e+03,2.26408e+02
9.92003e+02,4.15393e+03,2.24383e+02
1.04397e+03,4.15697e+03,2.22299e+02
1.09861e+03,4.16005e+03,2.20148e+02
1.15603e+03,4.16328e+03,2.17953e+02
1.21641e+03,4.16682e+03,2.15747e+02
1.28025e+03,4.17034e+03,2.13451e+02
1.34730e+03,4.17387e+03,2.11085e+02
1.41767e+03,4.17768e+03,2.08707e+02
1.49173e+03,4.18156e+03,2.06269e+02
1.56985e+03,4.18550e+03,2.03765e+02
1.65168e+03,4.18965e+03,2.01243e+02
1.73814e+03,4.19374e+03,1.98631e+02
1.82871e+03,4.19810e+03,1.96015e+02
1.92437e+03,4.20245e+03,1.93328e+02
2.02463e+03,4.20716e+03,1.90650e+02
2.13034e+03,4.21212e+03,1.87954e+02
2.24149e+03,4.21732e+03,1.85243e+02
2.35822e+03,4.22218e+03,1.82424e+02
2.48096e+03,4.22726e+03,1.79593e+02
2.61027e+03,4.23228e+03,1.76703e+02
2.74622e+03,4.23784e+03,1.73863e+02
2.88912e+03,4.24343e+03,1.70986e+02
3.03936e+03,4.24886e+03,1.68047e+02
3.19734e+03,4.25436e+03,1.65090e+02
3.36345e+03,4.26017e+03,1.62151e+02
3.53810e+03,4.26620e+03,1.59222e+02
3.72169e+03,4.27249e+03,1.56306e+02
3.91467e+03,4.27837e+03,1.53314e+02
4.11785e+03,4.28467e+03,1.50367e+02
4.33135e+03,4.29103e+03,1.47420e+02
4.55566e+03,4.29751e+03,1.44481e+02
4.79147e+03,4.30389e+03,1.41524e+02
5.03970e+03,4.31083e+03,1.38650e+02
5.30021e+03,4.31749e+03,1.35736e+02
5.57439e+03,4.32404e+03,1.32807e+02
5.86241e+03,4.33113e+03,1.29958e+02
6.16534e+03,4.33806e+03,1.27101e+02
6.48345e+03,4.34495e+03,1.24259e+02
6.81825e+03,4.35209e+03,1.21453e+02
7.16981e+03,4.35959e+03,1.18705e+02
7.53958e+03,4.36703e+03,1.15972e+02
7.92812e+03,4.37407e+03,1.13221e+02
8.33648e+03,4.38182e+03,1.10568e+02
8.76550e+03,4.38930e+03,1.07915e+02
9.21685e+03,4.39690e+03,1.05305e+02
9.69114e+03,4.40474e+03,1.02747e+02
1.01894e+04,4.41228e+03,1.00196e+02
1.07131e+04,4.42016e+03,9.77072e+01
1.12632e+04,4.42759e+03,9.52189e+01
1.18418e+04,4.43592e+03,9.28416e+01
1.24498e+04,4.44388e+03,9.04738e+01
1.30885e+04,4.45144e+03,8.81110e+01
1.37599e+04,4.45907e+03,8.57965e+01
1.44657e+04,4.46743e+03,8.35745e+01
1.52073e+04,4.47552e+03,8.13755e+01
1.59866e+04,4.48318e+03,7.91899e+01
1.68060e+04,4.49163e+03,7.71017e+01
1.76669e+04,4.49953e+03,7.50194e+01
1.85715e+04,4.50725e+03,7.29733e+01
1.95226e+04,4.51565e+03,7.10118e+01
2.05218e+04,4.52350e+03,6.90624e+01
2.15722e+04,4.53169e+03,6.71831e+01
2.26759e+04,4.53981e+03,6.53443e+01
2.38360e+04,4.54794e+03,6.35565e+01
2.50562e+04,4.55594e+03,6.18137e+01
2.63387e+04,4.56366e+03,6.01084e+01
2.76873e+04,4.57171e+03,5.84771e+01
2.91051e+04,4.57945e+03,5.68892e+01
3.05962e+04,4.58707e+03,5.53585e+01
3.21649e+04,4.59472e+03,5.38963e+01
3.38153e+04,4.60180e+03,5.24821e+01
3.55531e+04,4.60908e+03,5.11541e+01
3.73826e+04,4.61569e+03,4.98850e+01
3.93097e+04,4.62213e+03,4.87015e+01
4.13399e+04,4.62868e+03,4.76181e+01
4.34778e+04,4.63420e+03,4.65926e+01
4.57328e+04,4.63955e+03,4.56608e+01
4.81089e+04,4.64494e+03,4.48271e+01
5.06110e+04,4.64973e+03,4.40560e+01
5.32468e+04,4.65391e+03,4.33375e+01
5.60239e+04,4.65781e+03,4.26684e+01
5.89483e+04,4.66175e+03,4.20421e+01
6.20234e+04,4.66576e+03,4.14347e+01
6.52542e+04,4.66997e+03,4.08338e+01
6.86597e+04,4.67388e+03,4.01984e+01
7.22358e+04,4.67808e+03,3.95298e+01
7.59892e+04,4.68295e+03,3.88207e+01
7.99269e+04,4.68823e+03,3.80407e+01
8.40517e+04,4.69417e+03,3.71804e+01
8.83684e+04,4.70080e+03,3.62192e+01
9.28748e+04,4.70823e+03,3.51555e+01
9.75728e+04,4.71670e+03,3.39981e+01
1.02470e+05,4.72613e+03,3.27723e+01
1.07578e+05,4.73607e+03,3.15139e+01
1.12922e+05,4.74586e+03,3.02621e+01
1.18538e+05,4.75625e+03,2.90737e+01
1.24431e+05,4.76568e+03,2.79256e+01
1.30627e+05,4.77470e+03,2.68316e+01
1.37141e+05,4.78419e+03,2.57991e+01
1.43983e+05,4.79305e+03,2.48082e+01
1.51181e+05,4.80203e+03,2.38703e+01
1.58746e+05,4.81082e+03,2.29759e+01
1.66693e+05,4.81916e+03,2.21176e+01
1.75047e+05,4.82740e+03,2.12993e+01
1.83825e+05,4.83539e+03,2.05161e+01
1.93055e+05,4.84358e+03,1.97723e+01
2.02753e+05,4.85142e+03,1.90574e+01
2.12940e+05,4.85863e+03,1.83660e+01
2.23659e+05,4.86686e+03,1.77195e+01
2.34912e+05,4.87391e+03,1.70856e+01
