# age (yr),T_eff (K),L (L_sun)
1.83524e+02,4.06658e+03,1.00519e+04
1.90521e+02,4.06887e+03,9.99287e+03
1.97751e+02,4.07125e+03,9.93311e+03
2.05229e+02,4.07368e+03,9.87210e+03
2.12972e+02,4.07613e+03,9.80961e+03
2.21032e+02,4.07876e+03,9.74686e+03
2.29421e+02,4.08137e+03,9.68180e+03
2.38115e+02,4.08406e+03,9.61579e+03
2.47128e+02,4.08693e+03,9.54760e+03
2.56475e+02,4.08987e+03,9.47863e+03
2.66175e+02,4.09279e+03,9.40930e+03
2.76239e+02,4.09582e+03,9.33784e+03
2.86680e+02,4.09897e+03,9.26488e+03
2.97518e+02,4.10208e+03,9.19206e+03
3.08763e+02,4.10537e+03,9.11766e+03
3.20429e+02,4.10876e+03,9.04194e+03
3.32532e+02,4.11215e+03,8.96663e+03
3.45087e+02,4.11562e+03,8.89030e+03
3.58106e+02,4.11914e+03,8.81293e+03
3.71602e+02,4.12269e+03,8.73418e+03
3.85646e+02,4.12659e+03,8.65338e+03
4.00214e+02,4.13037e+03,8.57223e+03
4.15309e+02,4.13425e+03,8.48986e+03
4.30949e+02,4.13817e+03,8.40870e+03
4.47200e+02,4.14218e+03,8.32633e+03
4.64069e+02,4.14645e+03,8.24105e+03
4.81536e+02,4.15062e+03,8.15651e+03
4.99673e+02,4.15487e+03,8.07315e+03
5.18514e+02,4.15916e+03,7.98906e+03
5.37995e+02,4.16361e+03,7.90249e+03
5.58270e+02,4.16804e+03,7.81744e+03
5.79268e+02,4.17261e+03,7.73292e+03
6.01058e+02,4.17722e+03,7.64717e+03
6.23648e+02,4.18204e+03,7.55858e+03
6.47084e+02,4.18680e+03,7.47269e+03
6.71402e+02,4.19161e+03,7.38744e+03
6.96634e+02,4.19656e+03,7.30179e+03
7.22754e+02,4.20169e+03,7.21354e+03
7.49918e+02,4.20672e+03,7.12846e+03
7.78036e+02,4.21186e+03,7.04406e+03
8.07230e+02,4.21716e+03,6.95651e+03
8.37507e+02,4.22246e+03,6.87165e+03
8.68850e+02,4.22789e+03,6.78527e+03
9.01445e+02,4.23336e+03,6.70170e+03
9.35246e+02,4.23879e+03,6.61947e+03
9.70250e+02,4.24432e+03,6.53636e+03
1.00657e+03,4.24994e+03,6.45452e+03
1.04430e+03,4.25557e+03,6.37531e+03
1.08342e+03,4.26127e+03,6.29729e+03
1.12395e+03,4.26689e+03,6.21909e+03
1.16598e+03,4.27280e+03,6.14190e+03
1.20965e+03,4.27861e+03,6.06691e+03
1.25493e+03,4.28448e+03,5.99325e+03
1.30183e+03,4.29057e+03,5.91914e+03
1.35045e+03,4.29676e+03,5.84591e+03
1.40090e+03,4.30281e+03,5.77542e+03
1.45330e+03,4.30899e+03,5.70694e+03
1.50767e+03,4.31513e+03,5.64177e+03
1.56407e+03,4.32139e+03,5.57886e+03
1.62254e+03,4.32761e+03,5.51752e+03
1.68313e+03,4.33393e+03,5.45681e+03
1.74603e+03,4.34032e+03,5.40038e+03
1.81133e+03,4.34674e+03,5.34516e+03
1.87907e+03,4.35319e+03,5.29376e+03
1.94933e+03,4.35959e+03,5.24515e+03
2.02218e+03,4.36611e+03,5.19952e+03
2.09768e+03,4.37271e+03,5.15670e+03
2.17615e+03,4.37945e+03,5.11806e+03
2.25757e+03,4.38602e+03,5.08408e+03
2.34198e+03,4.39273e+03,5.05486e+03
2.42943e+03,4.39937e+03,5.02992e+03
2.52039e+03,4.40600e+03,5.01062e+03
2.61461e+03,4.41286e+03,4.99820e+03
2.71215e+03,4.41972e+03,4.99108e+03
2.81356e+03,4.42658e+03,4.99368e+03
2.91838e+03,4.43338e+03,5.00431e+03
3.02725e+03,4.44027e+03,5.02648e+03
3.13970e+03,4.44715e+03,5.05988e+03
3.25616e+03,4.45400e+03,5.10786e+03
3.37636e+03,4.46085e+03,5.17246e+03
3.50017e+03,4.46773e+03,5.25688e+03
3.62752e+03,4.47463e+03,5.36571e+03
3.75798e+03,4.48152e+03,5.50342e+03
3.89093e+03,4.48838e+03,5.67395e+03
4.02582e+03,4.49521e+03,5.88382e+03
4.16171e+03,4.50229e+03,6.13792e+03
4.29803e+03,4.50955e+03,6.43868e+03
4.43450e+03,4.51706e+03,6.78726e+03
4.57102e+03,4.52539e+03,7.18400e+03
4.70838e+03,4.53471e+03,7.62482e+03
4.84756e+03,4.54550e+03,8.10497e+03
4.98965e+03,4.55831e+03,8.61834e+03
5.13560e+03,4.57361e+03,9.15955e+03
5.26860e+03,4.60169e+03,9.81017e+03
5.40433e+03,4.64819e+03,1.04314e+04
5.54872e+03,4.70632e+03,1.09648e+04
5.69522e+03,4.77482e+03,1.14327e+04
5.83934e+03,4.85378e+03,1.18413e+04
5.97909e+03,4.94144e+03,1.22127e+04
6.11735e+03,5.03516e+03,1.25494e+04
6.25837e+03,5.13307e+03,1.28355e+04
6.39975e+03,5.23515e+03,1.30935e+04
6.54236e+03,5.34097e+03,1.33241e+04
6.69022e+03,5.44953e+03,1.34893e+04
6.83888e+03,5.56162e+03,1.36404e+04
6.99574e+03,5.67496e+03,1.37053e+04
7.15529e+03,5.79102e+03,1.37520e+04
7.32246e+03,5.90777e+03,1.37415e+04
7.49222e+03,6.02728e+03,1.37396e+04
7.66881e+03,6.14765e+03,1.37040e+04
7.85097e+03,6.26944e+03,1.36500e+04
8.03937e+03,6.39244e+03,1.35820e+04
8.23609e+03,6.51554e+03,1.34862e+04
8.43870e+03,6.64031e+03,1.33980e+04
8.64866e+03,6.76605e+03,1.33095e+04
8.86607e+03,6.89288e+03,1.32272e+04
9.09084e+03,7.02103e+03,1.31588e+04
9.32433e+03,7.14985e+03,1.30985e+04
9.56265e+03,7.28172e+03,1.30804e+04
9.80661e+03,7.41615e+03,1.30927e+04
1.00557e+04,7.55347e+03,1.31334e+04
1.03095e+04,7.69384e+03,1.31969e+04
1.05682e+04,7.83738e+03,1.32768e+04
1.08318e+04,7.98413e+03,1.33666e+04
1.11008e+04,8.13406e+03,1.34608e+04
1.13776e+04,8.28627e+03,1.35453e+04
1.16592e+04,8.44207e+03,1.36364e+04
1.19471e+04,8.60098e+03,1.37267e+04
1.22441e+04,8.76190e+03,1.38057e+04
1.25470e+04,8.92618e+03,1.38925e+04
1.28569e+04,9.09355e+03,1.39852e+04
1.31742e+04,9.26385e+03,1.40858e+04
1.34988e+04,9.43720e+03,1.41986e+04
1.38303e+04,9.61381e+03,1.43289e+04
1.41711e+04,9.79279e+03,1.44722e+04
1.45148e+04,9.97660e+03,1.46522e+04
1.48635e+04,1.01644e+04,1.48621e+04
1.52165e+04,1.03565e+04,1.51037e+04
1.55766e+04,1.05521e+04,1.53701e+04
1.59366e+04,1.07533e+04,1.56778e+04
1.62993e+04,1.09594e+04,1.60194e+04
1.66643e+04,1.11706e+04,1.63929e+04
1.70316e+04,1.13872e+04,1.67971e+04
1.74009e+04,1.16092e+04,1.72303e+04
1.77722e+04,1.18369e+04,1.76910e+04
1.81456e+04,1.20704e+04,1.81773e+04
1.85211e+04,1.23101e+04,1.86872e+04
1.88987e+04,1.25561e+04,1.92184e+04
1.92788e+04,1.28085e+04,1.97688e+04
1.96614e+04,1.30677e+04,2.03359e+04
2.00469e+04,1.33338e+04,2.09173e+04
2.04354e+04,1.36071e+04,2.15103e+04
2.08272e+04,1.38877e+04,2.21124e+04
2.12226e+04,1.41759e+04,2.27206e+04
2.16220e+04,1.44718e+04,2.33321e+04
2.20257e+04,1.47756e+04,2.39442e+04
2.24339e+04,1.50875e+04,2.45541e+04
2.28471e+04,1.54077e+04,2.51590e+04
2.32658e+04,1.57363e+04,2.57566e+04
2.36901e+04,1.60735e+04,2.63444e+04
2.41207e+04,1.64194e+04,2.69200e+04
2.45580e+04,1.67740e+04,2.74818e+04
2.50022e+04,1.71376e+04,2.80278e+04
2.54540e+04,1.75101e+04,2.85565e+04
2.59138e+04,1.78918e+04,2.90666e+04
2.63821e+04,1.82826e+04,2.95569e+04
2.68594e+04,1.86827e+04,3.00264e+04
2.73462e+04,1.90920e+04,3.04740e+04
2.78432e+04,1.95107e+04,3.08989e+04
2.83509e+04,1.99389e+04,3.13001e+04
2.88700e+04,2.03765e+04,3.16766e+04
2.94012e+04,2.08236e+04,3.20271e+04
2.99453e+04,2.12802e+04,3.23506e+04
3.05030e+04,2.17462e+04,3.26459e+04
3.10752e+04,2.22217e+04,3.29120e+04
3.16631e+04,2.27065e+04,3.31479e+04
3.22676e+04,2.32005e+04,3.33530e+04
3.28899e+04,2.37035e+04,3.35269e+04
3.35313e+04,2.42155e+04,3.36694e+04
3.41935e+04,2.47361e+04,3.37802e+04
3.48783e+04,2.52651e+04,3.38584e+04
3.55879e+04,2.58022e+04,3.39047e+04
3.63262e+04,2.63466e+04,3.39132e+04
3.70981e+04,2.68975e+04,3.38770e+04
3.79123e+04,2.74532e+04,3.37818e+04
3.87901e+04,2.80052e+04,3.35682e+04
3.97427e+04,2.85466e+04,3.32231e+04
4.08150e+04,2.90451e+04,3.25994e+04
4.20364e+04,2.94370e+04,3.15378e+04
4.33680e+04,2.96819e+04,3.01074e+04
4.47539e+04,2.97940e+04,2.85181e+04
4.61917e+04,2.98236e+04,2.69767e+04
4.77365e+04,2.98434e+04,2.56859e+04
4.94324e+04,2.99521e+04,2.48807e+04
5.11754e+04,3.02009e+04,2.46419e+04
5.28161e+04,3.05870e+04,2.48736e+04
5.43157e+04,3.10646e+04,2.53737e+04
5.57655e+04,3.15837e+04,2.59500e+04
5.73256e+04,3.20943e+04,2.64151e+04
5.91488e+04,3.25248e+04,2.65466e+04
6.12489e+04,3.27772e+04,2.61591e+04
6.34669e+04,3.28294e+04,2.53836e+04
6.37252e+04,3.21652e+04,2.43486e+04
6.40477e+04,3.16334e+04,2.35651e+04
6.56594e+04,3.19602e+04,2.39478e+04
6.77889e+04,3.19424e+04,2.34889e+04
6.99654e+04,3.18473e+04,2.30147e+04
7.22707e+04,3.18143e+04,2.27689e+04
7.46705e+04,3.18237e+04,2.26775e+04
7.71550e+04,3.18318e+04,2.26263e+04
7.97161e+04,3.18308e+04,2.25798e+04
8.23764e+04,3.18237e+04,2.25406e+04
8.51280e+04,3.18161e+04,2.25122e+04
8.79527e+04,3.18090e+04,2.24916e+04
9.08806e+04,3.18030e+04,2.24808e+04
9.39189e+04,3.17977e+04,2.24749e+04
9.70217e+04,3.17927e+04,2.24718e+04
1.00276e+05,3.17878e+04,2.24710e+04
1.03580e+05,3.17828e+04,2.24709e+04
1.07055e+05,3.17776e+04,2.24718e+04
1.10577e+05,3.17724e+04,2.24729e+04
1.14290e+05,3.17661e+04,2.24750e+04
1.18037e+05,3.17595e+04,2.24771e+04
1.22010e+05,3.17548e+04,2.24808e+04
1.26041e+05,3.17498e+04,2.24840e+04
1.30243e+05,3.17439e+04,2.24859e+04
1.34580e+05,3.17371e+04,2.24884e+04
1.39012e+05,3.17297e+04,2.24913e+04
1.43672e+05,3.17233e+04,2.24964e+04
1.48447e+05,3.17176e+04,2.25011e+04
1.53353e+05,3.17124e+04,2.25054e+04
1.58472e+05,3.17044e+04,2.25081e+04
1.63751e+05,3.16982e+04,2.25124e+04
1.69187e+05,3.16924e+04,2.25167e+04
1.74792e+05,3.16856e+04,2.25198e+04
1.80608e+05,3.16786e+04,2.25236e+04
1.86627e+05,3.16701e+04,2.25286e+04
1.92836e+05,3.16625e+04,2.25356e+04
1.99247e+05,3.16553e+04,2.25430e+04
2.05870e+05,3.16489e+04,2.25497e+04
2.12713e+05,3.16421e+04,2.25551e+04
2.19783e+05,3.16334e+04,2.25604e+04
2.27089e+05,3.16259e+04,2.25683e+04
2.34640e+05,3.16191e+04,2.25758e+04
2.42443e+05,3.16129e+04,2.25817e+04
2.50504e+05,3.16042e+04,2.25871e+04
2.58829e+05,3.15954e+04,2.25959e+04
2.67427e+05,3.15877e+04,2.26060e+04
2.76304e+05,3.15820e+04,2.26148e+04
